TumourID	CD8A	CCL5	LAG3	CD27	CD8B	CD3D	ITM2A	CD3E	TIGIT	PDCD1	DUSP2	APOBEC3G	TNFRSF9	NR4A2	HAVCR2	LYST
P1	2.08745541	6.76154036	3.76649564	2.4958706	2.54125007	5.08250014	4.58332602	5.58167426	1.67904022	0.54455359	0.40841519	6.35312517	0.58993305	2.7681474	10.57341547	87.49160955
P2	1.2389005	6.1945026	0.2477801	0.2477801	0	4.4600419	0.2477801	7.185623	0.2477801	0.2477801	2.7255811	5.6989424	6.1945026	0.2477801	17.0968271	80.2807533
P3	0.3776307	4.7203833	0.566446	1.5105227	0	0	2.4545993	3.2098607	3.5874913	0.1888153	2.0769687	2.265784	0	6.6085367	6.230906	76.4702101
P4	15.55784792	33.59932819	7.16973112	7.21659211	6.4668163	6.60739927	4.03004494	12.27757878	10.87174915	10.96547113	2.01502247	22.35269114	10.54372224	3.65515704	16.49506768	106.983635
P5	0.17368275	1.3026206	2.95260669	0	0.08684137	0	0.34736549	0.08684137	0	0	0	2.95260669	0.08684137	1.38946197	0.52104824	90.83607626
P6	21.89929532	32.64234585	7.10694112	3.88402596	5.04096987	5.78471952	6.03263607	8.42916273	5.70208067	6.77638572	1.1569439	10.32985628	8.51180158	2.47916551	9.42082893	168.2526991
P7	1.5932284	13.0872337	6.4867158	0	2.0484366	1.4794264	4.0968731	6.6005178	6.8281219	0.113802	0.3414061	4.4382792	2.1622386	2.2760406	15.5908784	71.581478
P8	0.7810527	1.0934738	2.0307371	0.6248422	0.7810527	0	0	0.3124211	0	0.1562105	0.9372633	1.8745265	1.4058949	10.7785275	2.1869476	104.6610638
P9	0.7294572	0.80240292	2.9178288	0	0.14589144	0.58356576	0.07294572	0.21883716	0.29178288	0.07294572	0.58356576	0.14589144	0.3647286	1.75069728	0.3647286	78.7084318
P10	2.15768333	7.78642246	2.81436956	0.09381232	0.46906159	3.18961884	0.56287391	5.06586522	1.97005869	1.59480942	1.31337246	9.09979492	1.31337246	1.87624638	5.25348985	76.73847678
P11	2.97679491	4.26861158	1.51648043	0.61782536	0.89865507	3.36995651	6.90841084	1.7411442	1.17948478	1.51648043	0.73015724	4.88643694	2.13430579	7.86323185	8.76188692	77.73366343
P12	0.84579494	4.39813369	9.24735801	1.52243089	0	0.73302228	2.25545317	0.78940861	0	0	0	3.38317976	0.16915899	3.04486178	2.36822583	103.3561417
P13	2.62764311	6.81544931	1.31382155	0.08211385	1.23170771	0.41056924	0.41056924	0.24634154	0.90325232	0	0	3.28455389	1.31382155	2.62764311	3.36666773	89.50409339
P14	2.93675718	8.95959817	1.095062	1.79191963	0.64708209	1.94124627	28.22273423	5.47530999	3.63361481	1.29416418	1.44349082	8.66094489	2.14034845	5.02733008	14.68378588	77.9982796
P15	5.9273895	3.7616126	1.0258943	3.1916713	5.1294717	2.1657769	0.9119061	6.0413778	2.0517887	1.8238122	0.7979178	12.5387086	4.1035773	5.0154834	5.9273895	52.4345994
P16	1.48242756	10.06815387	1.97657008	1.60596319	0.74121378	1.29712412	14.94781126	3.70606891	2.59424824	1.2353563	0.74121378	10.68583202	0.67944597	1.79126664	5.43556773	63.68261741
P17	2.68316796	6.85698479	1.78877864	0.96892176	1.04345421	1.7142462	0.89438932	5.6644657	2.16144086	0.67079199	0.74532443	5.96259547	1.34158398	1.63971376	6.33525769	94.43260581
P18	4.7929763	15.28326404	3.34604006	3.43647357	1.8086703	5.24514387	5.69731145	10.58072126	5.15471036	1.44693624	1.71823679	11.3946229	4.97384333	1.44693624	5.78774496	166.9402688
P19	1.50531376	3.8708068	1.72035858	1.72035858	0.59137326	1.55907496	1.12898532	3.49447836	1.61283617	0.43008964	1.39779134	17.52615301	0.86017929	1.45155255	6.7739119	74.02918006
P20	16.2429769	62.3199931	11.6021264	4.6408506	0.994468	4.9723399	20.5523382	23.5357421	20.5523382	14.254041	66.6293544	14.5855303	14.5855303	93.1485004	16.5744663	68.6182903
P21	1.19884639	4.0901818	5.71215044	0.63468338	0.2820815	1.55144827	2.0450909	3.45549842	0.91676489	0.2820815	0.35260188	4.44278368	0.77572413	4.16070217	4.0901818	100.4210152
P22	20.26844831	48.5462028	8.60864202	9.42591817	7.62791065	16.78140344	8.17276141	28.2777545	14.38406009	4.41329116	2.17940304	35.63323977	6.1568136	2.99667919	10.67907492	134.8505633
P23	9.6776566	18.3677972	7.9659622	4.2792359	1.1191848	6.1884335	3.1600511	11.5868541	7.6367902	6.3201023	1.1850192	9.6776566	6.9784462	2.3700383	6.9784462	79.0012783
P24	12.38027393	14.61054387	5.37085413	3.41367847	4.5515713	5.32533842	2.59439564	8.23834405	9.4672683	6.91838838	2.50336421	8.60246976	7.60112407	6.55426267	7.55560836	171.7307851
P25	0.44895387	6.86258056	2.11649681	0.25654507	0.12827253	0.962044	0.962044	1.73167921	1.41099787	0.25654507	1.02618027	4.29712988	0.7696352	3.71990348	4.04058482	101.0146204
P26	15.17562581	29.00230711	6.74472258	7.03378212	7.99731392	9.58714139	5.05854194	15.89827466	10.5024966	6.02207374	2.31247631	14.93474287	9.10537549	1.63800406	15.2238024	128.5833184
P27	2.86239445	4.45261358	4.13456976	0.47706574	1.19266435	0.87462053	0.79510957	4.13456976	1.35168627	2.78288349	1.27217531	4.85016837	0.5565767	15.42512563	7.63305186	84.99721286
P28	9.9053613	1.7480049	0.5826683	0	0	1.4566708	1.7480049	0.8740025	0.5826683	0	1.4566708	13.110037	1.7480049	3.787344	2.6220074	37.8734402
P29	0.9792492	28.3982272	9.4007924	0	0	0.1958498	4.3086965	3.9169969	3.3294473	0	1.7626486	2.3501981	0	3.5252972	6.8547445	115.3555573
P30	0.72120397	5.94993271	1.86311024	0.12020066	0.12020066	0.72120397	1.14190628	2.1636119	0.42070231	0.12020066	1.68280925	6.911538	0.06010033	45.49595014	2.64441454	204.2209228
P31	1.41059287	3.49581712	1.34926275	1.2266025	0.42931087	2.39187487	2.69852549	4.47709911	1.471923	0.2453205	0.61330125	6.56232336	0.36798075	2.57586524	8.1569066	96.34962614
